row,col,field1,field2,field3,field4,parents_data1,parents_data2,value,year
11,2,All doctorate recipients,Sex,Male,Father's education,NA,Total number,24679,2013
11,3,All doctorate recipients,Sex,Male,Father's education,NA,NA,NA,2013
11,4,All doctorate recipients,Sex,Male,Father's education,Parental education attainment (%),All,100,2013
11,5,All doctorate recipients,Sex,Male,Father's education,NA,High school or less,25.5,2013
11,6,All doctorate recipients,Sex,Male,Father's education,NA,Some collegea,12.3,2013
11,7,All doctorate recipients,Sex,Male,Father's education,NA,Bachelor's degree,27,2013
11,8,All doctorate recipients,Sex,Male,Father's education,NA,Advanced degree,35.2,2013
12,2,All doctorate recipients,Sex,Male,Mother's education,NA,Total number,24739,2013
12,3,All doctorate recipients,Sex,Male,Mother's education,NA,NA,NA,2013
12,4,All doctorate recipients,Sex,Male,Mother's education,Parental education attainment (%),All,100,2013
12,5,All doctorate recipients,Sex,Male,Mother's education,NA,High school or less,33.1,2013
12,6,All doctorate recipients,Sex,Male,Mother's education,NA,Some collegea,15.1,2013
12,7,All doctorate recipients,Sex,Male,Mother's education,NA,Bachelor's degree,27.8,2013
12,8,All doctorate recipients,Sex,Male,Mother's education,NA,Advanced degree,24.1,2013
13,2,All doctorate recipients,Sex,Female,Mother's education,NA,Total number,NA,2013
13,3,All doctorate recipients,Sex,Female,Mother's education,NA,NA,NA,2013
13,4,All doctorate recipients,Sex,Female,Mother's education,Parental education attainment (%),All,NA,2013
13,5,All doctorate recipients,Sex,Female,Mother's education,NA,High school or less,NA,2013
13,6,All doctorate recipients,Sex,Female,Mother's education,NA,Some collegea,NA,2013
13,7,All doctorate recipients,Sex,Female,Mother's education,NA,Bachelor's degree,NA,2013
13,8,All doctorate recipients,Sex,Female,Mother's education,NA,Advanced degree,NA,2013
14,2,All doctorate recipients,Sex,Female,Father's education,NA,Total number,21346,2013
14,3,All doctorate recipients,Sex,Female,Father's education,NA,NA,NA,2013
14,4,All doctorate recipients,Sex,Female,Father's education,Parental education attainment (%),All,100,2013
14,5,All doctorate recipients,Sex,Female,Father's education,NA,High school or less,24,2013
14,6,All doctorate recipients,Sex,Female,Father's education,NA,Some collegea,14.2,2013
14,7,All doctorate recipients,Sex,Female,Father's education,NA,Bachelor's degree,26,2013
14,8,All doctorate recipients,Sex,Female,Father's education,NA,Advanced degree,35.8,2013
15,2,All doctorate recipients,Sex,Female,Mother's education,NA,Total number,21484,2013
15,3,All doctorate recipients,Sex,Female,Mother's education,NA,NA,NA,2013
15,4,All doctorate recipients,Sex,Female,Mother's education,Parental education attainment (%),All,100,2013
15,5,All doctorate recipients,Sex,Female,Mother's education,NA,High school or less,28.6,2013
15,6,All doctorate recipients,Sex,Female,Mother's education,NA,Some collegea,17.2,2013
15,7,All doctorate recipients,Sex,Female,Mother's education,NA,Bachelor's degree,27.1,2013
15,8,All doctorate recipients,Sex,Female,Mother's education,NA,Advanced degree,27.1,2013
16,1,All doctorate recipients,Sex,Female,Mother's education,NA,NA,NA,2013
16,2,All doctorate recipients,Sex,Female,Mother's education,NA,Total number,NA,2013
16,3,All doctorate recipients,Sex,Female,Mother's education,NA,NA,NA,2013
16,4,All doctorate recipients,Sex,Female,Mother's education,Parental education attainment (%),All,NA,2013
16,5,All doctorate recipients,Sex,Female,Mother's education,NA,High school or less,NA,2013
16,6,All doctorate recipients,Sex,Female,Mother's education,NA,Some collegea,NA,2013
16,7,All doctorate recipients,Sex,Female,Mother's education,NA,Bachelor's degree,NA,2013
